BASE	EXPONENT	MODULUS	SELF(ms)	GMP(ms)	DIFFERENCE
9913314134331096393832678323569647458642146455608981146076136881650005878861953469955896128870804441451430903816750652100811979250912550321874287190671536779226668607575826970129154623509285925071901436327805577346860401466557334792523244822997482163068631932145496110174270239442062973217069708859515403207606897604519713075875419656004841344720879346348222941047852542089482978963552492592752292551058286623943243064629883512192988416344284736796863699667762146581458751365277125764992621242024388740380325301588069291	1052	34	-14839	0	14839
42577360001926609847334889495819741813117531594082889786277606632706197767919827852134292435873106485245442504296665627759661145927699981788404336907245966744839713840568034676859488004099575800496923117563351290151163872576294190642810281834575494580723113152026196906893703539069749756739838308503860115184925123635432909448188493992816363593244839040927474559517462639304792900197113931665153343135819751239630479522764164029158502488705534821054497385442604485074123537086860605137522289915809650474324131772162094468992130048	1044	33	-15186	0	15186
182868368758293286286454903144319719798503542000832758745234750064625803389723858574866709812175169560054682089002518353075054369801355002280992219041187212596990147707238267000105428964911991990607305338560956999358655729051894813685659378012044631267231003019259991850364813648624033468101561115352037884478046398222940972882098988142638740566631630201567508740999507576715929682399596290087812431593411917725068368675069772026015358589324881430618278504193492748456280727651909410376427817659433042148413033665030718955183684640638684902	1028	43	-14947	0	14947
785413663289737793376689096783700764702456422633739103576241247370301712036589915049981686202414655883689567543942777588097139551718709751282866983212367555117471912436797739245168845956348137117872315607805518014707719330800925311611920252757433185385136194444998923118543400289974659145105664196982286240786235310338123995467038017907325173876311360594898337978787019394099129068141932869530083361875941355685811362823495521369911626334863060463583199235330850210632880211060033789521400526151916181929223557891453956747881215204320664206965146584	1020	34	-15216	0	15216
3373325997660979594968085079445773570247241506077063636056312800061691854849963240503089547638305383251540672417617272636278973245779958973076207738015299671961019302114621957024735919380577092511785292639315062201508501524536979699911806529353229352134265119647167245549362235402078077696976146190397021295487661984862653262523780532900623980636270842868351466063644990046973494729752557160859142927410901331884463454552103484686239553518409189329560439690798209394542931968788422618649362751939672729119201367816557462121948336595295210665913079990611227832	1020	41	-15764	0	15764
14488324838700479855711251579965159289633060902814773572572709890611153299010171104762952194065955657926113329647515440217533893223083893801584056750477848038712106089407044948824758236776071189944884326459647715995684775913852469353737103127851384099403936489878110378676912354709378754147059545979870195719935060596487542814327339811089632014826120541517924380177009086805996663643115591178260630135819523174326612587808466794735035703583209202116334254527358661484921853673899167890525692710821454936510036760410581227118526869478392917275527060538307210590907093280	1048	31	-17276	0	17276
62226881356043036119786624355178687968404588417965686839844871562270640872091194066321069505924724817778819935225746023389351197164701356142140636738310389698726237613285710087204330262059850236181082224647174403882562189675084869243143113315901001455274320317687519102695514313735133333538845124548150764942240260505692248858935724727308787628352774852373295410661324718926580767032293679658335512597696890192046907887099293195288923332282233537815909610599545388340074158645094374891421158440723734247448364261721233902825621220106958158336422146175041624688930800616010472585	1056	36	-18103	0	18103
267262420356276972103030290103729553060486388551503003827311313073272830046592597644438248563689571330159590983267417547659314466480840250237342762223659234053044483406187219928679906545130166359055624088746539203483900029340638379423735943939416918024051612473096224893452499423392281273748799755543354312704305247846468630689822255069849760957184570341794531772537279399826056619506296330000051480402504148295744628673015924578481266983203534086753711046017142395388238237595396010992217426465342793163785895952787884281402485131243002912095322883471935269477663961852861633749122012859	1076	34	-19451	0	19451
1147883354880014263500419438492910878023485748681854213084064921260524056735481363118548913872565681959294661733870041589573276983314897085369843401692920647706235585462788793646839651063670412575183298906036187512145239888551482283387385205359485068222414616988013965778439569552928705449584318269311501483205548357901757197902688505577974918944525385853819055914680525963067421269423858403435044786645140233434557316118267273751779627041503760214228415749277577643567584453528903547380430357189932174067752794663282723013656134651814965336282174619072380916235513718635832280965608913943526284766	1076	34	-20198	0	20198
4930121468832423265747827970609735748953516410510638953835874135554765919500140977411668156058990315627107775374354484141377079238887020651269197474912485216621419254834090893668468875074516035733239410006818002357187408123403301219472223555973232291415599634115886007009661133142146130925581623761148219307023323442934550345924646921932515854774987370483933881855148225299453478195230276604888291418936174859935229428965491608950972719942335884781136999517038531605223519993624672526737334854536357148079177541291402627345479659719317623162705582216677133892086046855300245380488373586113523783989805929928	1056	33	-20444	0	20444
21174710473942741230816438116802864220957419207342504966788733163779990441188474165372589459077987652399145626300166666498165195735020325136077824046914904467472471312617110294197487284838955936501830646117618457148170828433021910956070118553305858143041141972757296274170521322887819351578307283832708117332300957296634016004211845410047220715260056195041531715994189436893592495521963141207029125377648306134759191075663541573006848699540499630982207530621248288016297401142620097001046538782434571193975896758424263890417310431927677730920272562497267475857522764461438198169972641060587824395554384866427709086763	1036	41	-19825	0	19825
90944688987852733762947389090876129908140633304098301903075175079705670684097107912416167381574287280546146403300653311958958359687350978354741003992341884382758560067988680883603146453759152374060415269205720642857371134341056034007745251869291493409576994755485510442945038609073840391784755767100070899055963376018535669619230474291960522787735669492825576081941803757486635600217858141201620058816483124238586894505389972555600811548546576142568649701903179959725986052917346348371842561844552142537910148789704625902216076097409010091530058639331879898172529828937388114265199542569971460314697050790704338875852160818788	1072	42	-21938	0	21938
390604464947718832776054052713900149942511504209830629442842438796810048893943025772010271245523516864454475821004332430297811849082977236907216498697313827874961161756062920893255896661593935707270242309417606057184505014529258176166729667477889830885132725668773783954315414751429473331839353091042197270726679973773361390824055659770539201096387450364350755904299863313655015060005031191628308294834391484340635613154852027852643027232066660865106183904554306885425707218632127957362086650383208887967054529238275349749932540763819008678855568456892683452850825780870556382428143106252187213704985701293726076277086434847628656859614	1028	38	-20827	0	20827
1677633402622030736576445048334461188612583190684988875156102975913180749123646268178069267175612691331736438532036357662441301432172674822828939048296589493771531367012456174954769183120701533094652320152944130822218954875351168701776710565090491626742615789366723130505954264426065557210754177051822747833751548642014724889578393548798168732994951443059709780881846818709418479909109086563503493114119237161303926082352996843346382909124163710907554127437422333528851031541696111431757444593714068041355027128527068418618922040786789502338824833229843261211674654695432702071852943711360997211332276579204178387592487671835799824364451146870089	1072	33	-23279	0	23279
7205380598938822662702622486537650074872332418071359056919289176355387052822841382097253006941942798032350690386610404443144397170859600588892887414811216384085922917156672496063987920732048305218593387547416759996576001340933026089509748971521340817421373824823300396209813498981687778172206169932972399134817746406806454951176411520305514812903072581049459684138858126438593298387656579286680530106903319452268239240107524169763949794581623141697943456693545209046419452927449258969769960334533929412738617042216547508722707651952839021381368169794830858110127975308976295967519835361624346672619328496908699881259746725817940527647861660796727305745397	1048	33	-22993	0	22993
30946874027675135641051402553113407344268619110857086543741749524013163865295928217903141556253305288251679365213513283376638277254476908736917292293624160383628413783164825678777516842883187850006084730638008633467574997737759493180759140505853794176894707629006508180504991332385678310132528156031534966354700915737655235816999964206349826049862255553521738701846885575837591168819754538115523885209093140881332720555765707832665716407513989396189441056955968967151854896221606027974596632280040446230084845992588322899994304097706394131185621033004173565434616020326748686419714371109480902396266434551703703087889695468631133416320549637454189082006673074974852	1064	36	-24343	0	24343
132915811862296506490679769020552987522759932120211785235212487675460105474934961057857554679766490504944815890670079609364241851229758992612236438257988598163142851015048561667890436100272462164000687319095216295308885691710951007524895524925710942547278008102064653606425402537359954000795753855954627825173900768954480953557182687099443098419447252907170245349489868347676581877499260659953760556879913161903244651681720659379590292470683193119124436360145560025908115045009271858747353654434511630115460904843363505246963414685927751403528576042202662095049391833621056842183632553576427711328532368902091825844580455693170111910509513345610398805418922910780747140011860	1032	43	-23334	0	23334
570869065069852350832521336752109033245349964115489558179013302176904214767556205470531761176128829635432510535169103447935874102866312255231461111737584239851584217685833976215428636361848001683780340557035870298397942264100872862377676185372681327789893978618390717317165559361596420613482120786991021368973509315408747808182994506989509207524435241633337127680355074836616476748925602798680778464013974829694388895259901633042895956040659353223491686321258458110880266819320390650093015472342312825077553290268814257675632269384545803696973333102709549502375981430091912394135735044091724856664175236111891817991400636042942641220298438516272208026791741481348434792796472950325236	1068	40	-25742	0	25742
