PRIME_NUMBER	BITS	SELF(prob)	GMP([0:no][1:probably][2:yes])	SELF(ms)	GMP(ms)	DIFFERENCE(ms)	test passed	test run
407549701736971588597264154123003343018967945843993188239997274611397876453897015630459	288	0.984375	0	0	0	0	0	4
315688745062273748347800473333142417417313437874338191283115249089611109286920088565271	288	0.984375	0	0	0	0	0	4
278256794671540364834901355652021787994766189824886795332230957017828562538166830431441	288	0.984375	0	1	0	1	0	4
360417113457197755085274104681248073599430200456512788081821688573206272104805626893769	288	0.984375	0	0	0	0	0	4
373332268840140878965262675270830953157484940930292224246923991295600630909209022284615	288	0.984375	0	0	0	0	0	4
434712107615430426988932848775193395944526925550891561986426058688542169907713555095093	288	0.996094	0	0	0	0	0	5
271091140220187416245551320820594619688358141187702194807288585791686316893850685963085	288	1.000000	0	1	0	1	0	30


402547913560409927064912748597247493020720520720890849190310810628699144021732644656821	288	0.996094	0	1	0	1	0	5
383744369359849171828779079597595426312197053794327543649111086537057871623231875296153	288	0.996094	0	0	0	0	0	5
302213941844014709951308620127074505495801736002977550779386659372738017570924085906237	288	0.996094	0	0	0	0	0	5
315571361095507256693408382596837563913677542658061876186504576337646026599382279670363	288	0.996094	0	1	0	1	0	5
328383929227669291254027557595756327619014781933761580993696924645200260395637369656843	288	0.996094	0	0	0	0	0	5
485174249527683452367327360701117607176281368713930551387082611301442387859936288123025	288	0.996094	0	0	0	0	0	5
463030800151036028774773782140398963087841734108705645813599196049501870776802217796163	288	0.996094	0	0	0	0	0	5
270164308305425292213524608795923409457332886539691675250542045456711125303993994218903	288	0.999023	0	1	0	1	0	6
468969470221489715588405158375388248236642809073365633759694687214048880104940050731227	288	0.999023	1	0	0	0	6	6
456345500660270408239222141738675563590979268328124926608562160443546728864904674394457	288	0.999023	0	0	0	0	0	6
4896454235074645242859650424206157927359917015164154178765537051269303272831518260258266899969356144623639	352	0.750000	0	1	0	1	0	2
8806581406264841373708558784738769373898908589418367461528704552314674347649985327425989336575388275681601	352	0.750000	0	0	0	0	0	2
8274458055283337031539523949216812226577292455479841004918070176542688410619969221610811077984053532492981	352	0.750000	0	0	0	0	0	2
8640552007062305319437133981673984672858428682967804394849910341241516369238379835286170454152261433574979	352	0.750000	0	0	0	0	0	2
5178157041287122344561033647287710257462751521488890615412907506567809905531243776116057334577062254416455	352	0.750000	0	1	0	1	0	2
6980964613854793670201836493326383307423846369845380219040200871595152499620673533019243789689195175170809	352	0.750000	0	0	0	0	0	2
7718259826249821872485280905124413663572420330649203916961818577508836542442623034794080746168188063732589	352	0.750000	0	0	0	0	0	2
6767924742957279850543366884211515655276547167679091994031110239753419852053736265572591891819359411648839	352	0.937500	0	1	0	1	0	3
7096372404442906321276180729027854094629674278393379195892097386425024057984441315348633678764148378472391	352	0.937500	0	0	0	0	0	3
4621622880311130102658495608206304925923207806767388091708846680862530159440267578364181119146000060929101	352	1.000000	0	1	0	1	0	28


7884765108738849052260322911605725714741307793473982095816813259010756195539745456345635077010088252956171	352	0.937500	0	0	0	0	0	3
7453034800721292765294054219277295656583805202194502255293832711653105752608270921670954593837152677648269	352	0.937500	0	1	0	1	0	3
7104642785279103255326775835941609555031536560251961849151652423575411378668286017110360000422925773363669	352	0.937500	0	0	0	0	0	3
8911524687060722314381154112129925544114947032093004112693474857286164736657921116528007862372681124311763	352	0.937500	0	0	0	0	0	3
6025315311069569833608952122412309845272162775559434740063425344168317063401107382775927031023980369186757	352	0.984375	0	1	0	1	0	4
7041304227379196290850680238227651198090465241824493497132901771598637399069308075817686979299521965942529	352	0.984375	0	0	0	0	0	4
7849017267147721342393977706266893774457434054191419263293392800359528883959044292730664207896769827487141	352	0.984375	0	1	0	1	0	4
7086028305848782639589465955438077454002699494188511241594630423612699010485602308039852219490871901087391	352	0.984375	0	0	0	0	0	4
6655367600449584323042035580410733156580541777644082382846844644723078307575596412343685610945934150568393	352	0.984375	0	0	0	0	0	4
6997981697223279452168680826108578377689070853343955398781692341650929809978372259450274112920239329381915	352	0.996094	0	1	0	1	0	5
5285691682968026666771700314629365525746988535386236166200783772352155903047324823438132995195682198073755	352	1.000000	0	1	0	1	0	30


6691711843648318975668898073293797079735196454422567755693224335942700930779630395238952915011491692130083	352	0.996094	0	0	0	0	0	5
8915043239204924895954464628597921906409256716267341122269451636951132615964604957469192570739833354413549	352	0.996094	0	1	0	1	0	5
4664261006084255068152608455372411765273631681163452257601920505709937490153842112266017747192196588655587	352	0.996094	0	0	0	0	0	5
5044120005912827984202973313656320969004593704842777355496756875188990971241833994242804261020167904457615	352	0.996094	0	1	0	1	0	5
7893284978462612666760553783308350401016415668325789755398072654856712349165859111396635966105771801539555	352	0.996094	0	0	0	0	0	5
5925399675869229648836222108676025320676275191674854356110102204592543246489782102990936957416949658377085	352	0.996094	0	0	0	0	0	5
6722481097491621480733973727811650849821974847191474290733471538998424807178521988726857568904855810228557	352	0.996094	0	1	0	1	0	5
8869918773911254952092122503288888361415575698699972782773766799539737595450201862501665247206044589529915	352	0.999023	0	0	0	0	0	6
8371445540831764650788495575653318798248560368313414208087147065502010914747748181038288619048679413613783	352	0.999023	0	1	0	1	0	6
5244014394900179059529902431448494192061482315321791082212508243955610062839409932563170002417330305848269	352	0.999023	0	0	0	0	0	6
168474493112534225604530243665051540025260495113359574934740741464913984861384226447998536159627129171184633969282483502757693	416	0.750000	0	0	0	0	0	2
144909593566657432482814475855190294816302112636405526312181661284014833064186053066872860593718046484054620998680973677492735	416	0.750000	0	1	0	1	0	2
153771828128215184585002105702518295888480994914846527394036687447653852535084606785405552158704991608164534379335791652000363	416	0.750000	0	0	0	0	0	2
98640956280858196839568576466531562094283544489456118699092262086023960437164742381519857938242368845592179679264556161829593	416	0.750000	0	0	0	0	0	2
157121101389664244732217100006845567214367808846512612042064151351810801922607195747094399342983434505386291787034835168283149	416	0.750000	0	1	0	1	0	2
130240746019611699469383330278342702900313479314628029189983094933641545835159064874244043878727239669469291218478726620118861	416	0.750000	0	0	0	0	0	2
141169152382075284780007135581105971400225383977611408684210005646470914755244807345302866899400592745054480423187731079875295	416	0.750000	0	1	0	1	0	2
164925692597375946437655577160441845156149110300270373500684947029926818094040540962988804516220133573026294775016319744055241	416	0.937500	0	0	0	0	0	3
111394058004116231452819447979616269900231745897289846677360980079010143793730269269903019117949934271128636942391121668080859	416	0.937500	0	0	0	0	0	3
147758364978681467072726058387058509900639932516198639658219443360660850960731086906220290320153995316249387141759937023344497	416	1.000000	0	2	0	2	0	28


116386196976725575675046884476901969198628409573919075338934012527682139433303070966458921984402318234144958417830461574016469	416	0.937500	0	1	0	1	0	3
132094461687315473345715006843649843377238659153628231061709949872339266649665490258856537186983569800277550652599016799091141	416	0.937500	0	0	0	0	0	3
112250304783425000110744852028808205075539840015465885868566220902915128282528904829950429154502166781241209510259097524793775	416	0.937500	0	1	0	1	0	3
116144067263549126011021597341127798869012261683366464057800120034851823281640787913715920166056228462920068854079635842896669	416	0.937500	0	0	0	0	0	3
155372834170411466087535336093533471847563987778793136627330607024065936483311694959646831802981377229299728611367707139412065	416	0.984375	0	1	0	1	0	4
139077726181892832908646643972833656992409014735992920878201047768113841328589795784725511893815984990417726047606373434819871	416	0.984375	0	0	0	0	0	4
149440740631539030676257948722234067030374020313913355006690171292012901997795593174122510275364309290296283648641594818706157	416	0.984375	0	0	0	0	0	4
95332149897350702494723426392009599169587588176749916136686513814837153309036426723428292115484218058015740747629561722005181	416	0.984375	0	1	0	1	0	4
164074481687884500225906499022283059538583847181352244349010877786471271150322931066649086627463899601496595777044802858406389	416	0.984375	0	0	0	0	0	4
126020844574544736164788613539923336087596637217162956923811958294390455948602244835915322745144217863244151093377941681543331	416	0.996094	0	1	0	1	0	5
98421122713882665213885057667790533495106982874016525872232896701307466827628738781669012338608418143494835467985313089964365	416	1.000000	0	2	0	2	0	30


151429969443013583127444098219505497166071118236396296275241056222865138073019293910752839138790420049651159755288117168883065	416	0.996094	0	0	0	0	0	5
99836328801702303140071752966742515178514687560589548371155619630529622555584307360001960253337109905558836029304041082756793	416	0.996094	0	1	0	1	0	5
117961098313180170637649255423066384018151720703876044129287023787274663380930077184413296555168184456145933890020799700163183	416	0.996094	0	0	0	0	0	5
130345222044586320113247468080232310412222970838507429162024685825122124402086182805872697063283469050968770794282520664095059	416	0.996094	0	1	0	1	0	5
114252017784017993527115531773115450349218284096296178415806644385334477256126544197172991802499033364751305244986234085185973	416	0.996094	0	0	0	0	0	5
139389254998722957752613501422599155488727199889548547637631090384279224012542417702589842990807661853858221365770824194610587	416	0.996094	0	1	0	1	0	5
147458238010395879784387152718005106402958407484498979617753834389315864486079493792974218410463783213332644013793520552037703	416	0.996094	0	0	0	0	0	5
112060902548986346064116957696646298505959127596478103700478268799297170680618010234999222813732793377221758937203211112985281	416	0.999023	0	1	0	1	0	6
119154563086155800321670753185558816895038401809700204070648160522087260992957894113385220687790069506547820894920834651204461	416	0.999023	0	0	0	0	0	6
89183318485829262808716769389144156500043692097144941837349136936925137368432052717663236743607454055649898723955200040363575	416	0.999023	0	1	0	1	0	6
2830944422701101260929790969730150788432260591518382954086930771336129476303069123552743163542663722884256118877152314991741642521944852658638793	480	0.750000	0	0	0	0	0	2
2143796893433206443449515634526798926987255909553089868170744023100280011150605555883928533062762029314040128355776103025321593627131693937939785	480	0.750000	0	1	0	1	0	2
1569796419352970876556959302538485985478083874315104772563799607120718206765528892898712819860340790409016605216539757089244835852548188495565671	480	0.750000	0	0	0	0	0	2
2489799113116466106908007058710921790253906829340259874559803986348078429639885933306609528898888059962079535710624245142609034060816853019773529	480	0.750000	0	1	0	1	0	2
1946039288024535156615835347694449190121555813665570166614804452655410739212409973913851280589410712149503257908928628561322470183324901064031569	480	0.750000	0	0	0	0	0	2
2600078827427452523976706169549813691167585801621358677253125225414522163571380576627423167464817551965669739213326690092209841074007601303608923	480	0.750000	0	0	0	0	0	2
1568011747748193774796176908868942814152204926698562715316762125540860949053737459981629918589801398826032913235881068147960286236320637793637965	480	0.750000	0	1	0	1	0	2
1838886953758930484444579092056260409149454877835879311986010710171679747084259281686857668269686746832250691411391278911344109323106766875776643	480	0.937500	0	0	0	0	0	3
2359909575042246691211168013253075856674870728788948369820654786222386892620063309602091540588162755315690340447114495877933409352816652998311759	480	0.937500	0	1	0	1	0	3
2860625587036836664196621769708786736610264789885208191245272713791954979504763412475836420995381915370589118315602617277494148344035607879196005	480	1.000000	0	2	0	2	0	28


2795196051602156304387776449479639851449937433580290721231021781931579989873202641064396417944061237317672058851501365690679086515228843982516465	480	0.937500	0	1	0	1	0	3
